LUFS-I-InGame,LUFS-M-InGame,name,wwise_path,file_path,LUFS-I,LUFS-M-MAX,音频时长,OutPutBus_BusVolume,OutPutBus_Volume,父级名1,父级音量1,父级MakeUpGain1,父级名2,父级音量2,父级MakeUpGain2,父级名3,父级音量3,父级MakeUpGain3,父级名4,父级音量4,父级MakeUpGain4,父级名5,父级音量5,父级MakeUpGain5,父级名6,父级音量6,父级MakeUpGain6,父级名7,父级音量7,父级MakeUpGain7,父级名8,父级音量8,父级MakeUpGain8,父级名9,父级音量9,父级MakeUpGain9,父级名10,父级音量10,父级MakeUpGain10,父级名11,父级音量11,父级MakeUpGain11,父级名12,父级音量12,父级MakeUpGain12,父级名13,父级音量13,父级MakeUpGain13,父级名14,父级音量14,父级MakeUpGain14,父级名15,父级音量15,父级MakeUpGain15,父级名16,父级音量16,父级MakeUpGain16,父级名17,父级音量17,父级MakeUpGain17,父级名18,父级音量18,父级MakeUpGain18,Main_Mix&MasterAudio
-26.0 ,-22.9 ,nikki_Float_start_231122_v5,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Float\Nikki_Skill_Float\Nikki_Skill_Float_Default\Nikki_Skill_Float_Special\Nikki_Skill_Float_Start_Subsequent\nikki_Float_start_vault_2\nikki_Float_start_231122_v5,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\nikki_Float_start_231122_v5.wav,-22.0 ,-18.9 ,"{'max': 0.7952982783317566, 'min': 0.7952982783317566, 'type': 'oneShot'}",0,0,nikki_Float_start_vault_2,-7,0,Nikki_Skill_Float_Start_Subsequent,0,0,Nikki_Skill_Float_Special,-2,0,Nikki_Skill_Float_Default,0,0,Nikki_Skill_Float,0,0,Nikki_Skill_Float,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,3
-26.0 ,-23.8 ,SFX_Nikki_Skill_MedicineFairy_FuChen_R02,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_MedicineFairy\SFX_Nikki_Skill_MedicineFairy_FuChen\SFX_Nikki_Skill_MedicineFairy_FuChen_R02\SFX_Nikki_Skill_MedicineFairy_FuChen_R02,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\3C\SFX_Nikki_Skill_MedicineFairy_FuChen_R02.wav,-26.0 ,-23.8 ,"{'max': 1.072291612625122, 'min': 1.072291612625122, 'type': 'oneShot'}",0,0,SFX_Nikki_Skill_MedicineFairy_FuChen_R02,0,0,SFX_Nikki_Skill_MedicineFairy_FuChen,0,3,Nikki_Skill_MedicineFairy,0,-6,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-26.0 ,-22.9 ,Sfx_3C_Nikki_Skill_Nikki_AM_Nikki_Walk_Cleanse_Attack04_FlowerCat_Lfoot_R01,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_FlowerCat\Sfx_3C_Nikki_Skill_Nikki_AM_Nikki_Walk_Cleanse_Attack04_FlowerCat_Lfoot\Sfx_3C_Nikki_Skill_Nikki_AM_Nikki_Walk_Cleanse_Attack04_FlowerCat_Lfoot_R01\Sfx_3C_Nikki_Skill_Nikki_AM_Nikki_Walk_Cleanse_Attack04_FlowerCat_Lfoot_R01,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\FlowerCat\Sfx_3C_Nikki_Skill_Nikki_AM_Nikki_Walk_Cleanse_Attack04_FlowerCat_Lfoot_R01.wav,-21.0 ,-17.9 ,"{'max': 4.000624656677246, 'min': 4.000624656677246, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_Nikki_AM_Nikki_Walk_Cleanse_Attack04_FlowerCat_Lfoot_R01,0,0,Sfx_3C_Nikki_Skill_Nikki_AM_Nikki_Walk_Cleanse_Attack04_FlowerCat_Lfoot,2,0,Nikki_Skill_FlowerCat,-10,0,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-26.0 ,-21.9 ,Sfx_3C_Skill_Nikki_Skill_NS_Piaofu_Trai_R03,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Float\Nikki_Skill_Float\Nikki_Skill_Float_Default\Nikki_Skill_Float_Special\Nikki_Skill_Float_Start_1st\Sfx_3C_Skill_Nikki_Skill_NS_Piaofu_Trai_R03\Sfx_3C_Skill_Nikki_Skill_NS_Piaofu_Trai_R03,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Float\Bubble\Sfx_3C_Skill_Nikki_Skill_NS_Piaofu_Trai_R03.wav,-27.0 ,-22.9 ,"{'max': 1.755732536315918, 'min': 1.755732536315918, 'type': 'oneShot'}",0,0,Sfx_3C_Skill_Nikki_Skill_NS_Piaofu_Trai_R03,-2,0,Nikki_Skill_Float_Start_1st,0,0,Nikki_Skill_Float_Special,-2,0,Nikki_Skill_Float_Default,0,0,Nikki_Skill_Float,0,0,Nikki_Skill_Float,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,3
-26.0 ,-23.0 ,Sfx_3C_Skill_Nikki_Skill_NS_Piaofu_Trai_R03_V2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Ability\Nikki_Skill_Float\Nikki_Skill_Float\Nikki_Skill_Float_Default\Nikki_Skill_Float_Special\Nikki_Skill_Float_Start_1st\Sfx_3C_Skill_Nikki_Skill_NS_Piaofu_Trai_R03_V2\Sfx_3C_Skill_Nikki_Skill_NS_Piaofu_Trai_R03_V2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Float\Bubble\Sfx_3C_Skill_Nikki_Skill_NS_Piaofu_Trai_R03_V2.wav,-26.0 ,-23.0 ,"{'max': 3.021665573120117, 'min': 3.021665573120117, 'type': 'oneShot'}",0,0,Sfx_3C_Skill_Nikki_Skill_NS_Piaofu_Trai_R03_V2,-3,0,Nikki_Skill_Float_Start_1st,0,0,Nikki_Skill_Float_Special,-2,0,Nikki_Skill_Float_Default,0,0,Nikki_Skill_Float,0,0,Nikki_Skill_Float,,,Nikki_Ability,4,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,3
-26.1 ,-24.2 ,Sfx_3C_Nikki_Skill_NS_3C_Purge_hit01_zcr_R01,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_Purege_HuanRao\Sfx_3C_Nikki_Skill_NS_3C_Purge_hit01_zcr\Sfx_3C_Nikki_Skill_NS_3C_Purge_hit01_zcr_R01\Sfx_3C_Nikki_Skill_NS_3C_Purge_hit01_zcr_R01,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Purage\Huanrao\Sfx_3C_Nikki_Skill_NS_3C_Purge_hit01_zcr_R01.wav,-29.1 ,-27.2 ,"{'max': 3.6115503311157227, 'min': 3.6115503311157227, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_NS_3C_Purge_hit01_zcr_R01,0,0,Sfx_3C_Nikki_Skill_NS_3C_Purge_hit01_zcr,0,0,Nikki_Skill_Purege_HuanRao,0,0,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-26.1 ,-24.0 ,Sfx_3C_Nikki_Ability_NS_Yanhua_03_R02,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_2_3C\Dev1_2_3C\Nikki_Skill_1_2\Nikki_Skill_1_2\Nikki_Skill_Firework\Nikki_Skill_Firework_FourStar\Sfx_3C_Nikki_Ability_NS_Yanhua_03\Sfx_3C_Nikki_Ability_NS_Yanhua_03_R02\Sfx_3C_Nikki_Ability_NS_Yanhua_03_R02,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Firework\Sfx_3C_Nikki_Ability_NS_Yanhua_03_R02.wav,-30.1 ,-28.0 ,"{'max': 1.876729130744934, 'min': 1.876729130744934, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Ability_NS_Yanhua_03_R02,0,0,Sfx_3C_Nikki_Ability_NS_Yanhua_03,-4,0,Nikki_Skill_Firework_FourStar,5,0,Nikki_Skill_Firework,0,0,Nikki_Skill_1_2,0,0,Nikki_Skill_1_2,,,Dev1_2_3C,0,0,Dev1_2_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,3
-26.1 ,-22.6 ,Sfx_3C_Nikki_Skill_NS_S0330_CheckPoint_Get01_HWS_R03,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_WhiteDragon\Sfx_3C_Nikki_Skill_NS_S0330_CheckPoint_Get01_HWS\Sfx_3C_Nikki_Skill_NS_S0330_CheckPoint_Get01_HWS_R03\Sfx_3C_Nikki_Skill_NS_S0330_CheckPoint_Get01_HWS_R03,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\WhiteDragon\Sfx_3C_Nikki_Skill_NS_S0330_CheckPoint_Get01_HWS_R03.wav,-23.1 ,-19.6 ,"{'max': 2.8902292251586914, 'min': 2.8902292251586914, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_NS_S0330_CheckPoint_Get01_HWS_R03,0,0,Sfx_3C_Nikki_Skill_NS_S0330_CheckPoint_Get01_HWS,0,0,Nikki_Skill_WhiteDragon,-6,0,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-26.1 ,-22.0 ,Sfx_3C_Nikki_Skill_PhxJump_FallToFloat_R03,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_5_1_3C\Dev1_5_1_3C\Nikki_Skill_1_5_1\Nikki_Skill_PhxJump\Sfx_3C_Nikki_Skill_PhxJump_FallToFloat\Sfx_3C_Nikki_Skill_PhxJump_FallToFloat_R03\Sfx_3C_Nikki_Skill_PhxJump_FallToFloat_R03,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\PhxJump\Sfx_3C_Nikki_Skill_PhxJump_FallToFloat_R03.wav,-27.1 ,-23.0 ,"{'max': 3.3381874561309814, 'min': 3.3381874561309814, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_PhxJump_FallToFloat_R03,0,0,Sfx_3C_Nikki_Skill_PhxJump_FallToFloat,-1,0,Nikki_Skill_PhxJump,-1,0,Nikki_Skill_1_5_1,0,0,Dev1_5_1_3C,0,0,Dev1_5_1_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-26.1 ,-14.4 ,Sfx_3C_Nikki_Ability_NS_FiveStar_Fireworks_01_R03,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_2_3C\Dev1_2_3C\Nikki_Skill_1_2\Nikki_Skill_1_2\Nikki_Skill_Firework\Nikki_Skill_Firework_FourStar\Sfx_3C_Nikki_Ability_NS_FiveStar_Fireworks_01\Sfx_3C_Nikki_Ability_NS_FiveStar_Fireworks_01_R03\Sfx_3C_Nikki_Ability_NS_FiveStar_Fireworks_01_R03,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Firework\Sfx_3C_Nikki_Ability_NS_FiveStar_Fireworks_01_R03.wav,-25.1 ,-13.4 ,"{'max': 10.93375015258789, 'min': 10.93375015258789, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Ability_NS_FiveStar_Fireworks_01_R03,-3,0,Sfx_3C_Nikki_Ability_NS_FiveStar_Fireworks_01,-6,0,Nikki_Skill_Firework_FourStar,5,0,Nikki_Skill_Firework,0,0,Nikki_Skill_1_2,0,0,Nikki_Skill_1_2,,,Dev1_2_3C,0,0,Dev1_2_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,3
-26.1 ,-22.1 ,Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Sticky_02Zidan_Cast_R02,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_5_1_3C\Dev1_5_1_3C\Nikki_Skill_1_5_1\Nikki_Skill_Purege\Nikki_Skill_Purege_NianNianDan\Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Sticky_02Zidan_Cast\Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Sticky_02Zidan_Cast_R02\Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Sticky_02Zidan_Cast_R02,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Purage\NianNiandan\Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Sticky_02Zidan_Cast_R02.wav,-25.1 ,-21.1 ,"{'max': 2.0333333015441895, 'min': 2.0333333015441895, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Sticky_02Zidan_Cast_R02,0,0,Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Sticky_02Zidan_Cast,-4,0,Nikki_Skill_Purege_NianNianDan,0,0,Nikki_Skill_Purege,0,0,Nikki_Skill_1_5_1,0,0,Dev1_5_1_3C,0,0,Dev1_5_1_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,3
-26.1 ,-24.6 ,Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_EggJump_Success_Anim_VO_R03,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_4_3C\Dev1_4_3C\Nikki_Skill_1_4\Nikki_Skill_Doll\Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_EggJump_Success_Anim_VO\Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_EggJump_Success_Anim_VO_R03\Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_EggJump_Success_Anim_VO_R03,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Doll\Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_EggJump_Success_Anim_VO_R03.wav,-19.1 ,-17.6 ,"{'max': 1.0250416994094849, 'min': 1.0250416994094849, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_EggJump_Success_Anim_VO_R03,0,0,Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_EggJump_Success_Anim_VO,-3,0,Nikki_Skill_Doll,-5,0,Nikki_Skill_1_4,0,0,Dev1_4_3C,-2,0,Dev1_4_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-26.1 ,-21.9 ,Sfx_3C_Nikki_Skill_Nikki_NY0074_WhiteDragon_FlightIntro_Anim,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_WhiteDragon\Nikki_Skill_WhiteDragon_Fly\Sfx_3C_Nikki_Skill_Nikki_NY0074_WhiteDragon_Flight_Anim\Sfx_3C_Nikki_Skill_Nikki_NY0074_WhiteDragon_FlightIntro_Anim\Sfx_3C_Nikki_Skill_Nikki_NY0074_WhiteDragon_FlightIntro_Anim,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\WhiteDragon\Sfx_3C_Nikki_Skill_Nikki_NY0074_WhiteDragon_FlightIntro_Anim.wav,-29.1 ,-24.9 ,"{'max': 3.136415719985962, 'min': 3.136415719985962, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_Nikki_NY0074_WhiteDragon_FlightIntro_Anim,6,0,Sfx_3C_Nikki_Skill_Nikki_NY0074_WhiteDragon_Flight_Anim,0,0,Nikki_Skill_WhiteDragon_Fly,0,0,Nikki_Skill_WhiteDragon,-6,0,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,3
-26.2 ,-22.8 ,Sfx_3C_Nikki_Skill_NS_ClothesCleaningKit_glow_Gold_R03,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_6_3C\Dev1_6_3C\Nikki_Skill_1_6\Nikki_Skill_GodMother\Sfx_3C_Nikki_Skill_NS_ClothesCleaningKit_glow_Gold\Sfx_3C_Nikki_Skill_NS_ClothesCleaningKit_glow_Gold_R03\Sfx_3C_Nikki_Skill_NS_ClothesCleaningKit_glow_Gold_R03,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\GodMother\Sfx_3C_Nikki_Skill_NS_ClothesCleaningKit_glow_Gold_R03.wav,-29.2 ,-25.8 ,"{'max': 3.692958354949951, 'min': 3.692958354949951, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_NS_ClothesCleaningKit_glow_Gold_R03,0,0,Sfx_3C_Nikki_Skill_NS_ClothesCleaningKit_glow_Gold,0,0,Nikki_Skill_GodMother,0,0,Nikki_Skill_1_6,0,0,Dev1_6_3C,0,0,Dev1_6_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-26.2 ,-22.3 ,nikki_tiaotiaoyu_skill_fire_v2,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Skill\Nikki_Skill\Nikki_Skill_OBT\Nikki_SfX\Nikki_Common\Nikki_TiaoTiao\TiaoTiaoYu\nikki_tiaotiaoyu_skill_fire\nikki_tiaotiaoyu_skill_fire_v2,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\SFX\nikki\skill\nikki_tiaotiaoyu_skill_fire_v2.wav,-21.2 ,-17.3 ,"{'max': 2.9347620010375977, 'min': 2.9347620010375977, 'type': 'oneShot'}",0,0,nikki_tiaotiaoyu_skill_fire,-6,0,TiaoTiaoYu,0,0,Nikki_TiaoTiao,0,0,Nikki_Common,0,0,Nikki_SfX,,,Nikki_Skill_OBT,,,Nikki_Skill,-2,0,Nikki_Skill,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,3
-26.2 ,-23.9 ,VO_3C_Nikki_Skill_FlowerCat_Scream_R02,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev_1_8_3C\Dev_1_8_3C\Nikki_Skill_1_8\Nikki_Skill_FlowerCat\VO_3C_Nikki_Skill_FlowerCat_Scream\VO_3C_Nikki_Skill_FlowerCat_Scream_R02\VO_3C_Nikki_Skill_FlowerCat_Scream_R02,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\FlowerCat\VO_3C_Nikki_Skill_FlowerCat_Scream_R02.wav,-12.2 ,-9.9 ,"{'max': 2.293229103088379, 'min': 2.293229103088379, 'type': 'oneShot'}",0,0,VO_3C_Nikki_Skill_FlowerCat_Scream_R02,0,0,VO_3C_Nikki_Skill_FlowerCat_Scream,-7,0,Nikki_Skill_FlowerCat,-10,0,Nikki_Skill_1_8,0,0,Dev_1_8_3C,0,0,Dev_1_8_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-26.2 ,-24.0 ,Vfs_NS_Fight_Common_Prop_Jiansu_StartLoop_01_04,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\OBT_3C\Nikki_Common\Nikki_Item\FightItem\Vfs_NS_Fight_Common_Prop_Jiansu_StartLoop_01\Vfs_NS_Fight_Common_Prop_Jiansu_StartLoop_01_04\Vfs_NS_Fight_Common_Prop_Jiansu_StartLoop_01_04,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\3C\Item\Vfs_NS_Fight_Common_Prop_Jiansu_StartLoop_01_04.wav,-25.2 ,-23.0 ,"{'max': 1.19712495803833, 'min': 1.19712495803833, 'type': 'oneShot'}",0,0,Vfs_NS_Fight_Common_Prop_Jiansu_StartLoop_01_04,0,0,Vfs_NS_Fight_Common_Prop_Jiansu_StartLoop_01,-4,0,FightItem,0,0,Nikki_Item,0,0,Nikki_Common,,,OBT_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
-26.2 ,-24.1 ,Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Shooting_01_Cast_R03,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_5_1_3C\Dev1_5_1_3C\Nikki_Skill_1_5_1\Nikki_Skill_Purege\Nikki_Skill_Purege_NianNianDan\Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Shooting_01_Cast\Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Shooting_01_Cast_R03\Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Shooting_01_Cast_R03,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Purage\NianNiandan\Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Shooting_01_Cast_R03.wav,-25.2 ,-23.1 ,"{'max': 1.7666666507720947, 'min': 1.7666666507720947, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Shooting_01_Cast_R03,0,0,Sfx_3C_Nikki_Skill_NS_3C_Cleanse_Shooting_01_Cast,-4,0,Nikki_Skill_Purege_NianNianDan,0,0,Nikki_Skill_Purege,0,0,Nikki_Skill_1_5_1,0,0,Dev1_5_1_3C,0,0,Dev1_5_1_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,3
-26.2 ,-25.8 ,Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_ShortJump_Start_Anim_VO_R04,\Actor-Mixer Hierarchy\X6_Audio\X6_Audio\X6_Audio\X6_3C\X6_3C\Dev1_4_3C\Dev1_4_3C\Nikki_Skill_1_4\Nikki_Skill_Doll\Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_ShortJump_Start_Anim_VO\Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_ShortJump_Start_Anim_VO_R04\Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_ShortJump_Start_Anim_VO_R04,D:\X6Game_Lanmeipai22L_AudioRemix\X6_WwiseProject\X6_Audio\Originals\SFX\X6_Sound\Sfx\Char\Skill\Doll\Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_ShortJump_Start_Anim_VO_R04.wav,-21.2 ,-20.8 ,"{'max': 0.4129282236099243, 'min': 0.4129282236099243, 'type': 'oneShot'}",0,0,Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_ShortJump_Start_Anim_VO_R04,0,0,Sfx_3C_Nikki_Skill_S0223ABA_Catdoll_ShortJump_Start_Anim_VO,-1,0,Nikki_Skill_Doll,-5,0,Nikki_Skill_1_4,0,0,Dev1_4_3C,-2,0,Dev1_4_3C,,,X6_3C,0,0,X6_3C,,,X6_Audio,0,0,X6_Audio,,,X6_Audio,,,Actor-Mixer Hierarchy,,,,,,,,,,,,,,,,,,,,,3
